address,zip_code,price,sell_date,sell_type,price_per_sq_m,no_rooms,housing_type,size_in_sq_m,year_of_construction,price_change_in_pct
"Ægirsgade 37, 2. TH2200 København N",vn N,1.895.000,14-11-2015,Alm. Salg,36.442,2,Lejlighed,52,1902,0 %,Aktuel værdi
"Bjelkes Allé 34, 2. 402200 København N",vn N,1.450.000,13-11-2015,Alm. Salg,29.591,1,Lejlighed,49,1969,-3 %,Aktuel værdi
"Krogerupgade 57, 3. TV2200 København N",vn N,1.575.000,13-11-2015,Alm. Salg,29.716,2,Lejlighed,53,1935,5 %,Aktuel værdi
"Hamletsgade 4, 1. 1582200 København N",vn N,1.250.000,13-11-2015,Alm. Salg,19.841,2,Lejlighed,63,1975,-4 %,Aktuel værdi
"Rådmandsgade 40C, 5. 1382200 København N",vn N,1.240.000,13-11-2015,Alm. Salg,25.833,1,Lejlighed,48,1967,-1 %,Aktuel værdi
"Frederik VIIs Gade 9, 4. TH2200 København N",vn N,2.895.000,13-11-2015,Alm. Salg,37.115,3,Lejlighed,78,1859,-3 %,Aktuel værdi
"Kapelvej 57, 12200 København N",vn N,3.100.000,12-11-2015,Alm. Salg,29.807,4,Lejlighed,104,1903,,Aktuel værdi
"Poppelgade 3, 2. TV2200 København N",vn N,2.395.000,12-11-2015,Alm. Salg,44.351,2,Lejlighed,54,1860,0 %,Aktuel værdi
"Rådmandsgade 40C, 5. 1362200 København N",vn N,1.198.000,12-11-2015,Alm. Salg,24.958,1,Lejlighed,48,1967,0 %,Aktuel værdi
"P.D. Løvs Allé 9, 2. TH2200 København N",vn N,2.525.000,11-11-2015,Alm. Salg,32.792,3,Lejlighed,77,1906,-3 %,Aktuel værdi
"Nørrebrogade 217, 2. TV2200 København N",vn N,2.195.000,11-11-2015,Alm. Salg,35.403,2,Lejlighed,62,1901,0 %,Aktuel værdi
"Esromgade 12, 4. TV2200 København N",vn N,3.100.000,10-11-2015,Alm. Salg,37.349,3,Lejlighed,83,1903,4 %,Aktuel værdi
"Krogerupgade 47, 3. TV2200 København N",vn N,2.198.000,10-11-2015,Alm. Salg,35.451,2,Lejlighed,62,1935,0 %,Aktuel værdi
"Uffesgade 8, 3. TV2200 København N",vn N,1.540.000,09-11-2015,Fam. Salg,20.000,4,Lejlighed,77,1901,,Aktuel værdi
"Uffesgade 10, ST. TV2200 København N",vn N,1.650.000,09-11-2015,Alm. Salg,30.000,2,Lejlighed,55,1901,-5 %,Aktuel værdi
"Julius Bloms Gade 1, 3. TH2200 København N",vn N,3.595.000,08-11-2015,Alm. Salg,39.505,3,Lejlighed,91,1905,0 %,Aktuel værdi
"Husumgade 31, 1. 12200 København N",vn N,1.995.000,05-11-2015,Alm. Salg,29.338,2,Lejlighed,68,1969,0 %,Aktuel værdi
"Nørrebrogade 205, ST. TV2200 København N",vn N,2.050.000,05-11-2015,Alm. Salg,31.538,3,Lejlighed,65,1892,-7 %,Aktuel værdi
"Peter Fabers Gade 30, 2. TH2200 København N",vn N,2.085.000,05-11-2015,Alm. Salg,43.437,2,Lejlighed,48,1896,-5 %,Aktuel værdi
"Åboulevard 34C, 5. TV2200 København N",vn N,1.550.000,04-11-2015,Alm. Salg,41.891,2,Lejlighed,37,1885,-6 %,Aktuel værdi
"Søllerødgade 44, 1. TV2200 København N",vn N,1.650.000,04-11-2015,Alm. Salg,41.250,2,Lejlighed,40,1886,-3 %,Aktuel værdi
"Uffesgade 8, 1. TH2200 København N",vn N,2.612.000,04-11-2015,Alm. Salg,32.650,4,Lejlighed,80,1901,-3 %,Aktuel værdi
"Slejpnersgade 8, 5. TH2200 København N",vn N,2.095.000,03-11-2015,Alm. Salg,38.090,2,Lejlighed,55,1938,0 %,Aktuel værdi
"Hamletsgade 4, 2. 1592200 København N",vn N,2.195.000,03-11-2015,Alm. Salg,31.811,3,Lejlighed,69,1975,0 %,Aktuel værdi
"Nørre Sideallé 5, 4. TH2200 København N",vn N,2.375.000,03-11-2015,Alm. Salg,47.500,2,Lejlighed,50,1901,-1 %,Aktuel værdi
"Solitudevej 2, 2. TV2200 København N",vn N,3.375.000,03-11-2015,Alm. Salg,38.793,3,Lejlighed,87,1891,-5 %,Aktuel værdi
"Julius Bloms Gade 9, 5. 12200 København N",vn N,810.000,03-11-2015,Alm. Salg,27.000,1,Lejlighed,30,1907,0 %,Aktuel værdi
"Kronborggade 8, 2. TV2200 København N",vn N,3.370.000,02-11-2015,Alm. Salg,41.604,3,Lejlighed,81,1899,,Aktuel værdi
"Sigynsgade 40, 2. TH2200 København N",vn N,2.000.000,02-11-2015,Alm. Salg,30.769,2,Lejlighed,65,1991,-4 %,Aktuel værdi
"Jagtvej 25, 1. TH2200 København N",vn N,3.500.000,02-11-2015,Alm. Salg,37.234,4,Lejlighed,94,1899,-5 %,Aktuel værdi
"Peter Fabers Gade 16, ST. TV2200 København N",vn N,1.225.000,01-11-2015,Fam. Salg,24.019,2,Lejlighed,51,1893,,Aktuel værdi
"Holtegade 12, 3. TH2200 København N",vn N,1.147.500,30-10-2015,Fam. Salg,15.506,3,Lejlighed,74,1932,,Aktuel værdi
"Florsgade 7, 2. TH2200 København N",vn N,2.500.000,30-10-2015,Fam. Salg,25.000,4,Lejlighed,100,1905,,Aktuel værdi
"Meinungsgade 12, 2. TH2200 København N",vn N,1.950.000,29-10-2015,Alm. Salg,33.620,2,Lejlighed,58,1910,-2 %,Aktuel værdi
"Slejpnersgade 10, 2. TH2200 København N",vn N,1.265.000,29-10-2015,Fam. Salg,23.000,2,Lejlighed,55,1938,,Aktuel værdi
"Julius Bloms Gade 4, 4. TV2200 København N",vn N,5.375.000,29-10-2015,Alm. Salg,40.413,4,Lejlighed,133,1908,0 %,Aktuel værdi
"Tagensvej 51, 4. TV2200 København N",vn N,1.830.000,28-10-2015,Alm. Salg,30.000,2,Lejlighed,61,1933,-3 %,Aktuel værdi
"Husumgade 12A, 32200 København N",vn N,1.775.000,28-10-2015,Alm. Salg,39.444,2,Lejlighed,45,1904,-1 %,Aktuel værdi
"Sigynsgade 54, ST. TV2200 København N",vn N,1.285.000,28-10-2015,Alm. Salg,22.946,1,Lejlighed,56,1991,-1 %,Aktuel værdi
"Hillerødgade 17, 3. TV2200 København N",vn N,1.549.000,26-10-2015,Alm. Salg,28.685,2,Lejlighed,54,1935,-3 %,Aktuel værdi
"Blågårdsgade 26, 3. 222200 København N",vn N,1.625.000,26-10-2015,Alm. Salg,26.639,1,Lejlighed,61,1972,-6 %,Aktuel værdi
"Guldbergsgade 5, 5. 22200 København N",vn N,2.498.000,26-10-2015,Alm. Salg,54.304,2,Lejlighed,46,1893,0 %,Aktuel værdi
"Florsgade 1, 4. TH2200 København N",vn N,1.900.000,25-10-2015,Alm. Salg,36.538,2,Lejlighed,52,1904,-5 %,Aktuel værdi
"Baldersgade 50, 2. TV2200 København N",vn N,2.795.000,25-10-2015,Alm. Salg,36.298,3,Lejlighed,77,1902,0 %,Aktuel værdi
"Sandbjerggade 50, ST. TH2200 København N",vn N,1.525.000,25-10-2015,Alm. Salg,28.773,2,Lejlighed,53,1935,-4 %,Aktuel værdi
"Asminderødgade 4, 1. TV2200 København N",vn N,1.650.000,24-10-2015,Alm. Salg,30.555,2,Lejlighed,54,1908,-8 %,Aktuel værdi
"Poppelgade 12, 3. TV2200 København N",vn N,2.250.000,23-10-2015,Alm. Salg,45.000,2,Lejlighed,50,1889,-2 %,Aktuel værdi
"Kapelvej 46, 3. TV2200 København N",vn N,3.350.000,23-10-2015,Alm. Salg,32.843,4,Lejlighed,102,1918,-3 %,Aktuel værdi
"Sandbjerggade 46, ST. TH2200 København N",vn N,765.000,23-10-2015,Fam. Salg,14.711,2,Lejlighed,52,1935,,Aktuel værdi
"Krogerupgade 53, 1. TV2200 København N",vn N,864.750,22-10-2015,Alm. Salg,16.316,2,Lejlighed,53,1935,,Aktuel værdi
"Tikøbgade 2, 4. TH2200 København N",vn N,2.500.000,22-10-2015,Alm. Salg,40.322,1,Lejlighed,62,1930,,Aktuel værdi
"Åboulevard 12, 1. TH2200 København N",vn N,3.450.000,22-10-2015,Alm. Salg,32.547,4,Lejlighed,106,1897,-1 %,Aktuel værdi
"Dagmarsgade 19, 1. 2152200 København N",vn N,1.450.000,21-10-2015,Fam. Salg,24.576,2,Lejlighed,59,1974,,Aktuel værdi
"Heimdalsgade 42, 4. 492200 København N",vn N,900.000,21-10-2015,Alm. Salg,17.647,1,Lejlighed,51,1975,-5 %,Aktuel værdi
"Husumgade 18, 3. TH2200 København N",vn N,3.100.000,21-10-2015,Alm. Salg,40.259,3,Lejlighed,77,1901,0 %,Aktuel værdi
"Bjelkes Allé 4, 4. 72200 København N",vn N,1.850.000,21-10-2015,Alm. Salg,31.355,2,Lejlighed,59,1970,,Aktuel værdi
"Krogerupgade 55, 4. TV2200 København N",vn N,1.729.500,20-10-2015,Alm. Salg,32.632,2,Lejlighed,53,1935,-1 %,Aktuel værdi
"Peter Fabers Gade 43, 1. TV2200 København N",vn N,2.200.000,19-10-2015,Alm. Salg,44.000,2,Lejlighed,50,1895,,Aktuel værdi
"Gormsgade 8, 3. 422200 København N",vn N,1.750.000,19-10-2015,Alm. Salg,27.343,1,Lejlighed,64,1965,0 %,Aktuel værdi
"Poppelgade 9, 2. TH2200 København N",vn N,2.275.000,19-10-2015,Alm. Salg,43.750,2,Lejlighed,52,1889,-1 %,Aktuel værdi
"Baldersgade 75, ST. TH2200 København N",vn N,1.750.000,17-10-2015,Alm. Salg,31.250,1,Lejlighed,56,1901,-5 %,Aktuel værdi
"Ole Jørgensens Gade 3, ST. TH2200 København N",vn N,1.700.000,17-10-2015,Alm. Salg,32.692,2,Lejlighed,52,1901,-3 %,Aktuel værdi
"Søllerødgade 22, 2. TV2200 København N",vn N,1.995.000,16-10-2015,Alm. Salg,37.641,2,Lejlighed,53,1903,0 %,Aktuel værdi
"Hamletsgade 4, 3. 1822200 København N",vn N,1.695.000,16-10-2015,Alm. Salg,27.338,2,Lejlighed,62,1975,0 %,Aktuel værdi
"Hamletsgade 17, 1. TV2200 København N",vn N,1.540.000,15-10-2015,Alm. Salg,27.017,2,Lejlighed,57,1947,-6 %,Aktuel værdi
"Sigynsgade 40, 4. TV2200 København N",vn N,2.550.000,13-10-2015,Alm. Salg,31.097,3,Lejlighed,82,1991,-2 %,Aktuel værdi
"Esromgade 28, 4. TV2200 København N",vn N,1.475.000,13-10-2015,Alm. Salg,27.830,2,Lejlighed,53,1904,-5 %,Aktuel værdi
"Baldersgade 18, 1. 12200 København N",vn N,1.685.000,10-10-2015,Alm. Salg,30.089,1,Lejlighed,56,1935,-1 %,Aktuel værdi
"Blågårdsgade 26, 1. 82200 København N",vn N,1.545.000,10-10-2015,Alm. Salg,26.186,1,Lejlighed,59,1972,0 %,Aktuel værdi
"Rantzausgade 50A, 3. TH2200 København N",vn N,1.720.000,09-10-2015,Alm. Salg,40.952,2,Lejlighed,42,1889,1 %,Aktuel værdi
"Rådmandsgade 40C, 2. 1042200 København N",vn N,2.398.000,09-10-2015,Alm. Salg,32.405,3,Lejlighed,74,1967,-4 %,Aktuel værdi
"Hillerødgade 15, 3. TV2200 København N",vn N,1.600.000,08-10-2015,Alm. Salg,28.070,2,Lejlighed,57,1935,,Aktuel værdi
"Husumgade 1, 2. 12200 København N",vn N,2.395.000,08-10-2015,Alm. Salg,37.421,2,Lejlighed,64,1985,0 %,Aktuel værdi
"Hillerødgade 17, 1. TV2200 København N",vn N,850.000,07-10-2015,Fam. Salg,15.740,2,Lejlighed,54,1935,,Aktuel værdi
"Krogerupgade 63, 1. TV2200 København N",vn N,1.000.000,07-10-2015,Alm. Salg,18.518,2,Lejlighed,54,1935,,Aktuel værdi
"Kronborggade 20, ST. TH2200 København N",vn N,2.773.000,07-10-2015,Alm. Salg,37.986,3,Lejlighed,73,1900,-1 %,Aktuel værdi
"Birkegade 15, ST. TH2200 København N",vn N,2.350.000,07-10-2015,Alm. Salg,44.339,2,Lejlighed,53,1892,-2 %,Aktuel værdi
"Brohusgade 18, ST. TH2200 København N",vn N,1.600.000,07-10-2015,Fam. Salg,20.512,3,Lejlighed,78,1906,,Aktuel værdi
"Ravnsborggade 18B, 12200 København N",vn N,3.395.000,07-10-2015,Alm. Salg,42.437,3,Lejlighed,80,1876,0 %,Aktuel værdi
"Heimdalsgade 14, 2. 12200 København N",vn N,4.195.000,06-10-2015,Alm. Salg,34.958,3,Lejlighed,120,1939,0 %,Aktuel værdi
"Hamletsgade 24, 2. 42200 København N",vn N,1.100.000,06-10-2015,Alm. Salg,25.581,1,Lejlighed,43,1938,-8 %,Aktuel værdi
"Sorgenfrigade 8E, 1. 42200 København N",vn N,2.881.000,05-10-2015,Alm. Salg,36.012,2,Lejlighed,80,1933,-4 %,Aktuel værdi
"Asminderødgade 3, ST. TV2200 København N",vn N,2.795.000,05-10-2015,Alm. Salg,34.506,3,Lejlighed,81,1906,0 %,Aktuel værdi
"Rantzausgade 11, 2. 12200 København N",vn N,545.000,05-10-2015,Alm. Salg,18.793,1,Lejlighed,29,1970,0 %,Aktuel værdi
"Julius Bloms Gade 1, 2. TV2200 København N",vn N,4.100.000,03-10-2015,Alm. Salg,39.805,4,Lejlighed,103,1905,-4 %,Aktuel værdi
"Poppelgade 5, 1. TH2200 København N",vn N,2.345.000,01-10-2015,Alm. Salg,42.636,2,Lejlighed,55,1860,0 %,Aktuel værdi
"Ryesgade 6, 3. TV2200 København N",vn N,2.500.000,01-10-2015,Fam. Salg,26.881,4,Lejlighed,93,1892,,Aktuel værdi
"Fyensgade 7, 1. TH2200 København N",vn N,1.100.000,01-10-2015,Fam. Salg,17.460,3,Lejlighed,63,1899,,Aktuel værdi
"Sorgenfrigade 7, 2. TH2200 København N",vn N,1.035.000,30-09-2015,Alm. Salg,16.967,2,Lejlighed,61,1931,,Aktuel værdi
"Peblinge Dossering 32, 3. TV2200 København N",vn N,7.250.000,30-09-2015,Alm. Salg,50.000,5,Lejlighed,145,1907,-3 %,Aktuel værdi
"Florsgade 1, ST. TV2200 København N",vn N,1.600.000,30-09-2015,Alm. Salg,35.555,2,Lejlighed,45,1904,-4 %,Aktuel værdi
"Poppelgade 7, 4. TH2200 København N",vn N,900.000,30-09-2015,Fam. Salg,18.367,2,Lejlighed,49,1889,,Aktuel værdi
"Thyrasgade 4, 5. 6122200 København N",vn N,1.869.000,29-09-2015,Alm. Salg,33.375,2,Lejlighed,56,1974,0 %,Aktuel værdi
"Fredensgade 13, 3. TH2200 København N",vn N,2.550.000,29-09-2015,Alm. Salg,34.931,2,Lejlighed,73,1877,-5 %,Aktuel værdi
"Poppelgade 5, 4. TH2200 København N",vn N,1.200.000,29-09-2015,Fam. Salg,21.818,2,Lejlighed,55,1860,,Aktuel værdi
"Gormsgade 11, 3. TH2200 København N",vn N,3.195.000,29-09-2015,Alm. Salg,35.898,4,Lejlighed,89,1903,0 %,Aktuel værdi
"Ahornsgade 17, 22200 København N",vn N,1.575.000,28-09-2015,Alm. Salg,11.842,4,Lejlighed,133,1886,,Aktuel værdi
"Sandbjerggade 48, 1. TV2200 København N",vn N,1.650.000,25-09-2015,Alm. Salg,31.730,2,Lejlighed,52,1935,-3 %,Aktuel værdi
"Vølundsgade 24, 3. TV2200 København N",vn N,1.850.000,24-09-2015,Alm. Salg,30.327,2,Lejlighed,61,1907,-2 %,Aktuel værdi
"Ægirsgade 18, 4. TV2200 København N",vn N,2.450.000,24-09-2015,Alm. Salg,38.888,2,Lejlighed,63,1903,,Aktuel værdi
"Peter Fabers Gade 38, 3. TV2200 København N",vn N,1.900.000,24-09-2015,Alm. Salg,41.304,2,Lejlighed,46,1883,-9 %,Aktuel værdi
"Solitudevej 4, 3. TH2200 København N",vn N,3.435.000,24-09-2015,Alm. Salg,41.890,3,Lejlighed,82,1892,,Aktuel værdi
"Stefansgade 35, 4. TV2200 København N",vn N,2.750.000,21-09-2015,Fam. Salg,34.810,3,Lejlighed,79,1900,,Aktuel værdi
"Peter Fabers Gade 22, 2. TV2200 København N",vn N,2.300.000,21-09-2015,Alm. Salg,42.592,2,Lejlighed,54,1893,-6 %,Aktuel værdi
"Hillerødgade 21A, 1. TH2200 København N",vn N,1.400.000,21-09-2015,Alm. Salg,28.000,2,Lejlighed,50,1935,-7 %,Aktuel værdi
"Husumgade 18, 5. TV2200 København N",vn N,3.750.000,21-09-2015,Alm. Salg,38.659,4,Lejlighed,97,1901,1 %,Aktuel værdi
"Dagmarsgade 34, 2. 202200 København N",vn N,1.645.000,21-09-2015,Alm. Salg,32.900,2,Lejlighed,50,1974,-3 %,Aktuel værdi
"Åboulevard 14, 4. TH2200 København N",vn N,3.750.000,18-09-2015,Alm. Salg,28.846,5,Lejlighed,130,1897,-6 %,Aktuel værdi
"Rantzausgade 50B, 2. TH2200 København N",vn N,1.825.000,18-09-2015,Alm. Salg,42.441,2,Lejlighed,43,1889,0 %,Aktuel værdi
"Sankt Hans Torv 24, 12200 København N",vn N,4.945.000,18-09-2015,Alm. Salg,35.321,5,Lejlighed,140,1907,-1 %,Aktuel værdi
"Åboulevard 34E, 3. TH2200 København N",vn N,1.450.000,18-09-2015,Alm. Salg,34.523,2,Lejlighed,42,1885,,Aktuel værdi
"Husumgade 10, 1. TV2200 København N",vn N,2.835.000,18-09-2015,Alm. Salg,35.886,3,Lejlighed,79,1904,-2 %,Aktuel værdi
"Rådmandsgade 40C, 1. 842200 København N",vn N,945.000,18-09-2015,Alm. Salg,21.477,1,Lejlighed,44,1967,0 %,Aktuel værdi
"Hamletsgade 4, 2. 1692200 København N",vn N,1.023.500,18-09-2015,Fam. Salg,15.746,2,Lejlighed,65,1975,,Aktuel værdi
"Dagmarsgade 19, ST. 1122200 København N",vn N,1.550.000,17-09-2015,Alm. Salg,26.271,2,Lejlighed,59,1974,0 %,Aktuel værdi
"Husumgade 31, 5. 172200 København N",vn N,2.310.000,17-09-2015,Alm. Salg,33.970,2,Lejlighed,68,1969,7 %,Aktuel værdi
"Nørrebrogade 219, 3. TV2200 København N",vn N,1.550.000,17-09-2015,Fam. Salg,27.192,2,Lejlighed,57,1901,,Aktuel værdi
"Peter Fabers Gade 38, 1. TH2200 København N",vn N,2.501.000,17-09-2015,Alm. Salg,44.660,3,Lejlighed,56,1883,2 %,Aktuel værdi
"Peblinge Dossering 28, 2. TH2200 København N",vn N,4.010.000,16-09-2015,Alm. Salg,52.077,3,Lejlighed,77,1880,-2 %,Aktuel værdi
"Slejpnersgade 2, 5. TV2200 København N",vn N,1.100.000,16-09-2015,Andet,17.187,2,Lejlighed,64,1938,,Aktuel værdi
"Guldbergsgade 49, 1. TH2200 København N",vn N,3.845.000,16-09-2015,Alm. Salg,29.351,3,Lejlighed,131,1871,-4 %,Aktuel værdi
"Tagensvej 47, 6. 442200 København N",vn N,725.000,15-09-2015,Fam. Salg,16.860,1,Lejlighed,43,1966,,Aktuel værdi
"Farumgade 1, 2. TV2200 København N",vn N,1.795.000,15-09-2015,Alm. Salg,34.519,2,Lejlighed,52,1892,-2 %,Aktuel værdi
"Baldersgade 71, 3. TV2200 København N",vn N,1.360.000,15-09-2015,Fam. Salg,16.385,3,Lejlighed,83,1903,,Aktuel værdi
"Guldbergsgade 12, ST. TH2200 København N",vn N,3.910.000,14-09-2015,Alm. Salg,49.493,3,Lejlighed,79,1889,0 %,Aktuel værdi
"Ægirsgade 37, 3. TH2200 København N",vn N,1.900.000,14-09-2015,Alm. Salg,36.538,2,Lejlighed,52,1902,-5 %,Aktuel værdi
"Mimersgade 96, 1. TH2200 København N",vn N,1.985.000,14-09-2015,Alm. Salg,37.452,2,Lejlighed,53,1938,-1 %,Aktuel værdi
"Peblinge Dossering 14, 3. TV2200 København N",vn N,10.500.000,14-09-2015,Alm. Salg,53.030,5,Lejlighed,198,1885,-2 %,Aktuel værdi
"Sigynsgade 58, 2. TH2200 København N",vn N,2.500.000,14-09-2015,Alm. Salg,29.761,3,Lejlighed,84,1991,-4 %,Aktuel værdi
"Husumgade 31, 3. 122200 København N",vn N,1.700.000,13-09-2015,Alm. Salg,29.310,1,Lejlighed,58,1969,-3 %,Aktuel værdi
"Blegdamsvej 8, 4. TH2200 København N",vn N,4.250.000,10-09-2015,Alm. Salg,40.865,4,Lejlighed,104,1868,-3 %,Aktuel værdi
"Kronborggade 20, 5. TH2200 København N",vn N,2.350.000,09-09-2015,Alm. Salg,36.153,2,Lejlighed,65,1900,0 %,Aktuel værdi
"Meinungsgade 12, 4. TH2200 København N",vn N,1.845.000,08-09-2015,Alm. Salg,31.810,2,Lejlighed,58,1910,-3 %,Aktuel værdi
"Hamletsgade 8, 1. 702200 København N",vn N,1.200.000,08-09-2015,Alm. Salg,26.086,1,Lejlighed,46,1975,-4 %,Aktuel værdi
"Holtegade 4, 3. TV2200 København N",vn N,3.901.555,07-09-2015,Alm. Salg,35.794,4,Lejlighed,109,2005,1 %,Aktuel værdi
"Hamletsgade 19, 1. TV2200 København N",vn N,1.545.000,07-09-2015,Alm. Salg,27.589,2,Lejlighed,56,1947,0 %,Aktuel værdi
"Tagensvej 47, 3. 192200 København N",vn N,1.445.000,07-09-2015,Alm. Salg,33.604,2,Lejlighed,43,1966,0 %,Aktuel værdi
"Hamletsgade 8, 2. 892200 København N",vn N,1.026.000,06-09-2015,Alm. Salg,22.304,1,Lejlighed,46,1975,3 %,Aktuel værdi
"Wesselsgade 9, ST. TV2200 København N",vn N,1.750.000,06-09-2015,Alm. Salg,38.888,1,Lejlighed,45,1886,0 %,Aktuel værdi
"Heimdalsgade 42, 2. 202200 København N",vn N,1.090.000,06-09-2015,Alm. Salg,22.708,1,Lejlighed,48,1975,0 %,Aktuel værdi
"Hamletsgade 24, 2. 12200 København N",vn N,1.070.000,06-09-2015,Alm. Salg,25.476,1,Lejlighed,42,1938,8 %,Aktuel værdi
"Sorgenfrigade 8E, 2. 22200 København N",vn N,2.950.000,04-09-2015,Alm. Salg,37.341,3,Lejlighed,79,1933,-2 %,Aktuel værdi
"Sorgenfrigade 8E, 2. 42200 København N",vn N,2.825.000,03-09-2015,Alm. Salg,35.312,2,Lejlighed,80,1933,-6 %,Aktuel værdi
"Poppelgade 11, 2. TV2200 København N",vn N,2.250.000,03-09-2015,Alm. Salg,43.269,2,Lejlighed,52,1889,-6 %,Aktuel værdi
"Sorgenfrigade 5, ST. TV2200 København N",vn N,1.998.000,03-09-2015,Alm. Salg,33.300,2,Lejlighed,60,1931,0 %,Aktuel værdi
"Julius Bloms Gade 31, 3. TV2200 København N",vn N,2.250.000,03-09-2015,Alm. Salg,40.178,2,Lejlighed,56,1904,-2 %,Aktuel værdi
"Tagensvej 47, 3. 222200 København N",vn N,1.450.000,02-09-2015,Alm. Salg,33.720,1,Lejlighed,43,1966,0 %,Aktuel værdi
"Tagensvej 47, 6. 422200 København N",vn N,1.215.000,01-09-2015,Alm. Salg,28.255,1,Lejlighed,43,1966,-6 %,Aktuel værdi
"Thyrasgade 4, 5. 6072200 København N",vn N,1.970.000,01-09-2015,Alm. Salg,35.178,2,Lejlighed,56,1974,-1 %,Aktuel værdi
"Sandbjerggade 54, 1. TH2200 København N",vn N,1.635.000,31-08-2015,Alm. Salg,37.159,2,Lejlighed,44,1935,0 %,Aktuel værdi
"Dagmarsgade 17, 1. 2042200 København N",vn N,1.700.000,31-08-2015,Alm. Salg,28.813,2,Lejlighed,59,1974,,Aktuel værdi
"Guldbergsgade 12, 3. TH2200 København N",vn N,2.750.000,28-08-2015,Fam. Salg,34.810,3,Lejlighed,79,1889,,Aktuel værdi
"Farumgade 11, 3. TV2200 København N",vn N,1.795.000,28-08-2015,Alm. Salg,32.053,2,Lejlighed,56,1915,0 %,Aktuel værdi
"Husumgade 1, 1. 42200 København N",vn N,2.850.000,27-08-2015,Alm. Salg,36.538,3,Lejlighed,78,1985,-5 %,Aktuel værdi
"Fenrisgade 1, 3. TH2200 København N",vn N,825.000,27-08-2015,Fam. Salg,11.148,3,Lejlighed,74,1934,,Aktuel værdi
"Guldbergsgade 5, 2. 42200 København N",vn N,3.835.000,27-08-2015,Alm. Salg,46.768,3,Lejlighed,82,1893,-2 %,Aktuel værdi
"Ole Jørgensens Gade 5, 3. TH2200 København N",vn N,1.775.000,27-08-2015,Alm. Salg,33.490,2,Lejlighed,53,1901,-4 %,Aktuel værdi
"Gormsgade 6, 4. 202200 København N",vn N,2.745.000,26-08-2015,Alm. Salg,33.475,3,Lejlighed,82,1965,-2 %,Aktuel værdi
"Jagtvej 141, 2. A2200 København N",vn N,1.500.000,26-08-2015,Alm. Salg,22.058,2,Lejlighed,68,1970,0 %,Aktuel værdi
"Hamletsgade 4, 2. 1642200 København N",vn N,1.910.000,26-08-2015,Alm. Salg,28.507,2,Lejlighed,67,1975,-2 %,Aktuel værdi
"Nørre Sideallé 7, 1. TH2200 København N",vn N,3.000.000,26-08-2015,Alm. Salg,41.666,3,Lejlighed,72,1901,-8 %,Aktuel værdi
"Sorgenfrigade 2, 52200 København N",vn N,2.540.000,26-08-2015,Alm. Salg,34.324,2,Lejlighed,74,1904,2 %,Aktuel værdi
"Vølundsgade 24, 3. TH2200 København N",vn N,977.500,25-08-2015,Fam. Salg,16.853,2,Lejlighed,58,1907,,Aktuel værdi
"Blågårdsgade 24, 3. TV2200 København N",vn N,3.475.000,25-08-2015,Alm. Salg,39.488,4,Lejlighed,88,1872,-4 %,Aktuel værdi
"Birkegade 15B, 4. TH2200 København N",vn N,2.800.000,25-08-2015,Alm. Salg,50.000,2,Lejlighed,56,1892,0 %,Aktuel værdi
"Dagmarsgade 26, 3. 1642200 København N",vn N,1.695.000,25-08-2015,Alm. Salg,33.235,2,Lejlighed,51,1974,0 %,Aktuel værdi
"Ryesgade 32, 2. TH2200 København N",vn N,1.207.500,25-08-2015,Andet,13.721,4,Lejlighed,88,1879,,Aktuel værdi
"Hamletsgade 8, 2. 912200 København N",vn N,990.000,24-08-2015,Alm. Salg,22.500,1,Lejlighed,44,1975,-1 %,Aktuel værdi
"Sorgenfrigade 7, 3. TV2200 København N",vn N,2.395.000,24-08-2015,Alm. Salg,38.629,2,Lejlighed,62,1931,0 %,Aktuel værdi
"Stefansgade 12, 4. TV2200 København N",vn N,1.200.000,24-08-2015,Alm. Salg,29.268,2,Lejlighed,41,1886,,Aktuel værdi
"Rantzausgade 50C, ST2200 København N",vn N,1.780.000,23-08-2015,Alm. Salg,32.962,2,Lejlighed,54,1889,-4 %,Aktuel værdi
"Thyrasgade 4, ST. 1152200 København N",vn N,1.670.000,23-08-2015,Alm. Salg,27.377,2,Lejlighed,61,1974,-1 %,Aktuel værdi
"Frejasgade 7, 2. TH2200 København N",vn N,1.235.500,21-08-2015,Fam. Salg,16.256,4,Lejlighed,76,1901,,Aktuel værdi
"Krogerupgade 47, ST. TH2200 København N",vn N,1.595.000,21-08-2015,Alm. Salg,29.537,2,Lejlighed,54,1935,0 %,Aktuel værdi
"Læssøesgade 19, 4. TV2200 København N",vn N,2.700.000,21-08-2015,Alm. Salg,46.551,2,Lejlighed,58,1868,4 %,Aktuel værdi
"Peter Fabers Gade 20, 4. TH2200 København N",vn N,2.545.000,20-08-2015,Alm. Salg,49.901,2,Lejlighed,51,1893,2 %,Aktuel værdi
"Ægirsgade 17, ST. TV2200 København N",vn N,1.478.000,20-08-2015,Alm. Salg,29.560,1,Lejlighed,50,1903,,Aktuel værdi
"Thyrasgade 4, ST. 1122200 København N",vn N,1.577.500,20-08-2015,Alm. Salg,26.291,2,Lejlighed,60,1974,-1 %,Aktuel værdi
"Dagmarsgade 19, 3. 4172200 København N",vn N,1.680.000,19-08-2015,Andet,28.474,2,Lejlighed,59,1974,2 %,Aktuel værdi
